text,type,freq,current_candidate,surface_form,in_predictions,context
hạ huyết áp,CHẨN_ĐOÁN,10,I95.9,hạ huyết áp,1,"- Bị một cơn nhịp tim chậm nặng và hạ huyết áp ngay sau khi study. - Cơn bệnh tự khỏi sau khi dùng intravenous fluids. - Chụp lại chụp ct sọ não, kết quả âm tính. || - Chụp lại chụp ct sọ não, kết quả âm tính. - Đã dùng kháng sinh cho nhiễm trùng nhiễm trùng răng miệng gần đây. Tình trạng ngay trước khi nhập viện"
trầm cảm,CHẨN_ĐOÁN,10,F32.9,trầm cảm,1,"Các bệnh lý mạn tính - ho Rối loạn cảm xúc (trầm cảm) (tiền sử giai đoạn trầm cảm không đặc hiệu) - hội chứng nghiện rượu || - Tác dụng phụ của thuốc: Sử dụng một số loại thuốc có thể gây hôi miệng kèm chảy máu chân răng. Các loại thuốc gồm: Kháng histamin H1, thuốc chống trầm cảm, thuốc lợi tiểu, thuốc kháng sinh, thuốc chống nôn,.. -Hút thuốc lá: Thành phần trong thuốc lá gây hỏng men răng, gai lưỡi phát triển quá mức khiến vi khuẩn xâm nhập, gây hôi miệng, chảy máu chân răng và mất răng."
viêm sung huyết hang vị dạ dày,CHẨN_ĐOÁN,10,K29.6,viêm sung huyết hang vị dạ dày,1,"Trước kia bệnh dạ dày được coi là bệnh nan y và nguy hiểm nhưng mấy chục năm gần đây nhờ nội soi phát triển nên bệnh đã được điều trị hiệu quả. Để điều trị dứt điểm bệnh viêm sung huyết hang vị dạ dày, trước hết, người bệnh cần được thăm khám chuyên khoa, nội soi dạ dày để tìm nguyên nhân, đánh giá mức độ bệnh. Căn cứ trên kết quả khám, các bác sĩ sẽ đưa ra phác đồ điều trị hiệu quả nhất cho từng  || Không được bỏ thuốc giữa chừng cũng như không được tự ý tăng giảm liều lượng thuốc mà chưa có sự đồng ý của bác sĩ. Ngoài ra, người bị viêm sung huyết hang vị dạ dày có thể sử dụng sản phẩm từ thiên nhiên như nghệ, mật ong... để hỗ trợ điều trị."
mày đay,CHẨN_ĐOÁN,9,L50.9,MÀY đay,1,Đây là tình trạng hay gặp nhất của MÀY ĐAY MẠN TÍNH. Tổn thương mô bệnh học chủ yếu là tình trạng xâm nhập của tế bào một nhân kết hợp với lympho T và đại thực bào. Các tổn thương khó quan sát trên kính hiển vi quang học thông thường mà cần xem trên kính hiển vi điện tử. || Chúng ta không tìm được nguyên nhân gây bệnh. Đây là tình trạng hay gặp nhất của MÀY ĐAY MẠN TÍNH. Tổn thương mô bệnh học chủ yếu là tình trạng xâm nhập của tế bào một nhân kết hợp với lympho T và đại thực bào.
suy tim,CHẨN_ĐOÁN,9,I50.9,suy tim,1,"• Giới tính: Trẻ trai mắc bệnh nhiều hơn trẻ gái. • Đặc điểm nguy hiểm: Giai đoạn đầu có thể chưa quá nghiêm trọng, nhưng nếu không điều trị kịp thời, bệnh có thể dẫn đến viêm tim, phình giãn động mạch vành, đột tử, nhồi máu cơ tim, hoặc hẹp tắc mạch vành gây suy tim về sau. Tóm lại: Kawasaki là bệnh viêm mạch máu nguy hiểm, cần phát hiện sớm để tránh biến chứng nặng. || Bệnh mạch vành là tình trạng hẹp hoặc tắc các động mạch vành – những mạch máu có nhiệm vụ nuôi dưỡng cơ tim. Nguyên nhân chủ yếu là xơ vữa động mạch, làm giảm tưới máu cơ tim, gây thiếu oxy cơ tim, từ đó dẫn đến đau thắt ngực, nhồi máu cơ tim, suy tim hoặc đột tử . 2."
tăng men gan,CHẨN_ĐOÁN,9,R74.0,tăng men gan,1,Tiêu chuẩn chẩn đoán Sốt ≥5 ngày + 4/5 tiêu chí sau: 1. || - tăng men gan nhẹ (lần nhập viện trước) - tbr là cao tới 1.0 sau đó cải thiện (lần nhập viện trước) - các xét nghiệm khác có xu hướng giảm (lần nhập viện trước)
amyloidosis,CHẨN_ĐOÁN,8,E85.9,amyloidosis,1,"Mặc dù bệnh thoái hóa tinh bột không được xếp thành một loại ung thư, bệnh lại có thể liên quan đến một số bệnh ung thư máu như đa u tủy. Có nhiều loại amyloidosis khác nhau, bao gồm những loại sau: • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện  || - Ăn uống kém, ăn vào dễ nôn. - Nôn không ra máu, không ra dịch mật • Bệnh amyloidosis chuỗi nhẹ • Bệnh amyloidosis tự miễn dịch • Bệnh amyloidosis di truyền hoặc gia đình Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện nay chưa có phương pháp điều trị tận gốc amyloidosis.Tuy nhiên, các phương pháp điều trị có thể giúp bạn kiểm soát các triệu chứng "
bệnh kawasaki,CHẨN_ĐOÁN,8,M30.3,bệnh Kawasaki,1,"1. Bệnh Kawasaki là gì? Bệnh Kawasaki là tình trạng sốt cấp kéo dài, thường đi kèm phát ban toàn thân, với đặc điểm chính là viêm lan tỏa hệ mạch máu nhỏ và vừa, bao gồm động mạch vành – mạch máu quan trọng cung cấp máu cho tim. || Bệnh Kawasaki là gì? Bệnh Kawasaki là tình trạng sốt cấp kéo dài, thường đi kèm phát ban toàn thân, với đặc điểm chính là viêm lan tỏa hệ mạch máu nhỏ và vừa, bao gồm động mạch vành – mạch máu quan trọng cung cấp máu cho tim. Bệnh được mô tả lần đầu bởi bác sĩ Tomisaku Kawasaki (Nhật Bản) vào năm 1967."
bệnh bạch cầu dòng tủy mãn tính,CHẨN_ĐOÁN,7,C92.1,Bệnh bạch cầu dòng tủy mãn tính,1,"Các bệnh lý mạn tính - Bệnh bạch cầu dòng tủy mãn tính đang dùng gleevec - Tăng huyết áp || 1. Tiền sử bệnh nội Các bệnh lý mạn tính - ho Bệnh bạch cầu dòng tủy mãn tính - Tăng huyết áp - Đái tháo đường típ 2 - ho Rung nhĩ kèm đáp ứng thất nhanh - bệnh thận mạn, không đặc hiệu 2. Bệnh sử hiện tại Lý do vào viện: Khó thở tăng dần, diễn tiến nặng hơn từ sáng ngày nhập viện."
gout,CHẨN_ĐOÁN,7,M10.9,gout,1,"- Giả gout - bệnh thận mạn, không đặc hiệu Giai đoạn 4 - tăng sản tuyến tiền liệt || Chào bạn! Với những mô tả của bạn thì ông bạn đã bị bệnhgout, dạo gần đây không điều trị thường xuyên, và hình thành những hạt nhỏ ở vùng khớp như hình ảnh, đây là hạt tophi trong bệnh gout mạn tính. Sự hình thành hạt tophi: Khi mới hình thành hạt tophi có màu trắng, nhỏ, mềm, có thể di động."
mụn trứng cá,CHẨN_ĐOÁN,7,L70.0,mụn trứng cá,1,"- Chị em sử dụng thuốc quá liều gây ảnh hưởng đến tim, mạch, gan, thận... - Nồng độ hormone thay đổi nội tiết tố trong cơ thể gây ra các bệnh lý về da có thể xuất hiện nhiều mụn trứng cá, nám, tàn nhang, sạm da… - Ảnh hưởng đến tâm trạng, cảm xúc, hay thấy bồn chồn, lo lắng, bứt rứt trong người, gây giảm ham muốn, lãnh cảm, suy giảm hưng phấn đối với tình dục, ảnh hưởng đến tình cảm gia đình. Lý d || Tiền sử bệnh Các bệnh lý mạn tính - rung nhĩ - tăng huyết áp - suy tim, không đặc hiệu - béo phì Cháu năm nay 18 tuổi da rất nhiều dầu và bị mụn trứng cá từ năm lớp 8. Đến năm lớp 11 cháu đi khám da liễu, thì sau khoảng 3 tháng điều trị da cháu ít dầu hơn và dường như không còn mụn."
rung nhĩ,CHẨN_ĐOÁN,7,I48.9,rung nhĩ,1,- tiền sử rung nhĩ - phẫu thuật cắt bỏ tuyến tiền liệt (u ác của tuyến tiền liệt) - rối loạn cảm xúc lưỡng cực khác || Thuốc trước khi nhập viện: đang dùng eliquis (cho rung nhĩ) 2. Tiền sử bệnh hiện tại Lý do nhập viện: sốt và đau bụng
thiếu men g6pd,CHẨN_ĐOÁN,7,,thiếu men G6PD,1,"THIẾU MEN G6PD là gì? 1. || Khi thiếu men này, hồng cầu rất dễ bị phá hủy, dẫn đến thiếu máu tan huyết. Ở trẻ sơ sinh, vàng da nặng do thiếu men G6PD có thể gây ra nhiều biến chứng nguy hiểm như: • Bại não"
đau thắt ngực,CHẨN_ĐOÁN,7,I20.9,đau thắt ngực,1,"Câu trả lời của bác sĩ: Chào bạn, kể từ tháng 6/2012 thuốcVastarel (trimetazidin) đã được cảnh báo ở Pháp, và sau đó là ở Châu Âu và trên toàn thế giới về việc lưu ý tác dụng bất lợi của thuốc này là lớn hơn lợi ích của thuốc: như làm nặng hơn hội chứng Parkinson, gây run tay chân, mất thăng bằng khi đi hoặc run rấy toàn thân. Chính vì vậy mà thuốc bị giới hạn chỉ định ""điều trị triệu chứng đau th || Bệnh mạch vành là tình trạng hẹp hoặc tắc các động mạch vành – những mạch máu có nhiệm vụ nuôi dưỡng cơ tim. Nguyên nhân chủ yếu là xơ vữa động mạch, làm giảm tưới máu cơ tim, gây thiếu oxy cơ tim, từ đó dẫn đến đau thắt ngực, nhồi máu cơ tim, suy tim hoặc đột tử . 2."
động mạch vành,CHẨN_ĐOÁN,7,I25.9,động mạch vành,1,"Bệnh Kawasaki là gì? Bệnh Kawasaki là tình trạng sốt cấp kéo dài, thường đi kèm phát ban toàn thân, với đặc điểm chính là viêm lan tỏa hệ mạch máu nhỏ và vừa, bao gồm động mạch vành – mạch máu quan trọng cung cấp máu cho tim. Bệnh được mô tả lần đầu bởi bác sĩ Tomisaku Kawasaki (Nhật Bản) vào năm 1967. || • Siêu âm tim (quan trọng nhất để đánh giá động mạch vành) • ECG điện tâm đồ 6."
hoại tử,CHẨN_ĐOÁN,6,R02,hoại tử,1,"Cơ chế: Lúc đầu trong nhu mô phổi bị viêm xuất hiện một hay nhiều ổ viêm hóa mủ, nhu mô phổi bị đông đặc, nếu điều trị ở giai đoạn này thì thương tổn có thể phục hội hoàn toàn. Nếu không thì các ổ viêm này sẽ hoại tử lan rộng và kết hợp lại thành một ổ lớn hoại tử và có mủ. Đây là giai đoạn nung mủ cấp và áp xe phổi đã hình thành, có vỏ mỏng bao bọc. || Đây là giai đoạn nung mủ cấp và áp xe phổi đã hình thành, có vỏ mỏng bao bọc. Sau đó thương tổn các phế quản lân cận và bệnh nhân sẽ khạc ra mủ, và các tổ chức hoại tử. Sau một thời gian (khoảng 6-8 tuần) thì viêm xơ bắt đầu bao quanh ổ áp xe tạo nên nhiều vách ngăn, hoặc là mủ sẽ lan qua vùng lân cận gây nên các thương tổn mới."
huyết khối,CHẨN_ĐOÁN,6,I82.9,huyết khối,1,3. Điều trị lặp lại nếu cần • Một số trẻ cần truyền **** lần 2 hoặc sử dụng thuốc ức chế miễn dịch khác 7. || • Mảng xơ vữa to dần → hẹp lòng mạch • Nứt vỡ mảng xơ vữa → huyết khối → tắc mạch cấp Yếu tố nguy cơ
nấm bẹn,CHẨN_ĐOÁN,6,B35.6,nấm bẹn,1,"Chào bạn! Nấm bẹn là một dạng nhiễm nấm thường là do Trichophyton rubrum hoặc là T. mentagrophytes. || Các yếu tố nguy cơ chính liên quan đến môi trường ẩm ướt (thời tiết nóng, quần áo ướt và chật, chứng béo phì do có nhiều nếp gấp da). Bệnh do nhiễm nấm da mà thành nên để điều trị nấm bẹn bạn phải được sử dụng thuốc kháng nấm dạng bôi hoặc dạng uống theo chỉ định của bác sĩ da liễu với liệu trình điều trị từ 1-4 tuần. Ngoài ra để giảm thiểu nguy cơ bị lây nhiễm, hoặc tái phát nấm bẹn bạn nên: • Gi"
tràn dịch màng phổi,CHẨN_ĐOÁN,6,J91,tràn dịch màng phổi,1,"- khó thở khi gắng sức - ho mạn tính có đờm vàng loãng - ran - phù phù - dịch thanh dịch lẫn máu từ vết mổ - phân nâu dương tính guaiac Kết quả xét nghiệm: huyết khối 26.3, giảm so với hôm qua, nhưng ổn định ở mức 28 hậu phẫu tuần trước. Kết quả chẩn đoán hình ảnh: chụp x-quang ngực có xẹp phổi thùy dưới phải do chèn ép kèm tràn dịch màng phổi. Các thủ thuật đã thực hiện - Truyền dịch tĩnh mạch 75 || - dấu hiệu sinh tồn là: 98.8 65 9360 20 95 2LNC (tại khoa Cấp cứu) - dấu hiệu sinh tồn 98.6 70 10356 17 962LNC (khi đến MICU) Dấu hiệu lâm sàng - hạ huyết áp, không đặc hiệu - mệt mỏi - mệt mỏi - khó thở khi gắng sức - ho mạn tính có đờm vàng loãng - ran - phù phù - dịch thanh dịch lẫn máu từ vết mổ - phân nâu dương tính guaiac Kết quả xét nghiệm: huyết khối 26.3, giảm so với hôm qua, nhưng ổn địn"
trứng cá,CHẨN_ĐOÁN,6,L70.0,Trứng cá,1,"Câu trả lời của bác sĩ: 1.Mụn xuất hiện thông qua sự tương tác của 4 yếu tố chính: Sản xuất quá nhiều chất bã nhờn Bít tắc nang lông bởi chất bã và tế bào sừng Vi hệ tại nang lông bởi Propionibacterium acnes (vi khuẩn kỵ khí thông thường) Giải phóng các chất trung gian gây viêm Trứng cá có thể được phân loại là - Không viêm: Đặc trưng bởi nhân mụn - Viêm: Đặc trưng bởi sẹo, mụn mủ, nốt sần, và nan || - Không viêm: Đặc trưng bởi nhân mụn - Viêm: Đặc trưng bởi sẹo, mụn mủ, nốt sần, và nang 2. Trứng cá bắt nguồn từ bốn yếu tố chính: - Tăng sản tuyến bã nhờn - Sừng hóa nang lông bất thường - Vi khuẩn C. acne - Viêm tại chỗ 3.Điều trị - Nhân mụn: Tretinoin tại chỗ - Trứng cá viêm nhẹ: ******** tại chỗ đơn độc hoặc phối hợp với kháng sinh tại chỗ, ****************, hoặc cả hai"
tăng lipid máu,CHẨN_ĐOÁN,6,E78.5,tăng lipid máu,1,"- Tăng huyết áp - tăng lipid máu, không đặc hiệu - Đái tháo đường típ 2 || Đơn thuốc cụ thể cho 1 ngày 1. Medrol 16mg x 3 viên, uống 8h sáng sau ăn no 2. Omez 20mg x 1 viên, uống 8h sáng."
tăng nhãn áp,CHẨN_ĐOÁN,6,H40.9,tăng nhãn áp,1,Tiền sử phẫu thuật / thủ thuật - Phẫu thuật đặt cảng để điều trị chứng tăng nhãn áp ở thời kỳ sơ sinh - Hệ thống dẫn lưu được chỉnh sửa/thay thế khi 3 tháng tuổi - Hệ thống dẫn lưu được chỉnh sửa/thay thế lại khi [Số] tuổi 2. Tiền sử bệnh hiện tại || Các phát hiện chẩn đoán khác - Tăng nhãn áp so với chụp cắt lớp vi tính (ct) đầu từ [Date] (từ lần nhập viện trước) - Phù gai thị (theo báo cáo của bác sĩ nhãn khoa)
viêm mô tế bào,CHẨN_ĐOÁN,6,L03.9,Viêm mô tế bào,1,"Sau đó được bác sĩ điều trị khám và tăng liều cotrimoxazol, đồng thời bổ sung doxycyclin do nghi ngờ viêm mô tế bào. Bệnh nhân thấy ban đỏ quanh tổn thương giảm sau điều trị - Tuy nhiên tổn thương tiếp tục tiến triển, xuất hiện nhiều bọng nước, lan rộng sang mông phải, đau nhiều, một số vị trí rỉ dịch vàng đục giống mủ. || - Bệnh nhân kiên quyết muốn tiếp tục sử dụng doxycyclinebactrim cho khả năng Viêm mô tế bào - Cảm thấy rằng cô ấy đã có cải thiện do những loại thuốc này và không muốn ngừng chúng cho đến khi được bác sĩ Truyền nhiễm khám 3. Đánh giá tại bệnh viện"
bệnh dạ dày,CHẨN_ĐOÁN,5,K31.9,bệnh dạ dày,1,"Biểu hiện chủ yếu là đau bụng cồn cào kèm theo ợ hơi, ợ chua, có thể có cảm giác buồn nôn hoặc nôn. Trước kia bệnh dạ dày được coi là bệnh nan y và nguy hiểm nhưng mấy chục năm gần đây nhờ nội soi phát triển nên bệnh đã được điều trị hiệu quả. Để điều trị dứt điểm bệnh viêm sung huyết hang vị dạ dày, trước hết, người bệnh cần được thăm khám chuyên khoa, nội soi dạ dày để tìm nguyên nhân, đánh giá "
bệnh lý chất trắng,CHẨN_ĐOÁN,5,I67.8,bệnh lý chất trắng,1,"- chọc dò dịch não tủy là không phát hiện bất thường - đánh giá thần kinh để tìm bệnh lý chất trắng - các băng nhóm oligoclonal đang chờ kết quả || - các băng nhóm oligoclonal đang chờ kết quả - Được bác sĩ khoa tâm thần cho nhập chỉ định viện tâm thần Tình trạng ngay trước khi nhập viện: Phủ nhận tự tử chủ động, ý định, kế hoạch hiện tại khi đã lên tầng, cảm thấy an toàn"
bệnh mạch vành,CHẨN_ĐOÁN,5,I25.9,bệnh mạch vành,1,6. Dự phòng bệnh mạch vành Dự phòng tiên phát (chưa mắc bệnh) || BỆNH MẠCH VÀNH (Coronary Artery Disease – CAD) 1.
bệnh thận mạn,CHẨN_ĐOÁN,5,N18.9,bệnh thận mạn,1,"- Giả gout - bệnh thận mạn, không đặc hiệu Giai đoạn 4 - tăng sản tuyến tiền liệt || 1. Tiền sử bệnh nội Các bệnh lý mạn tính - ho Bệnh bạch cầu dòng tủy mãn tính - Tăng huyết áp - Đái tháo đường típ 2 - ho Rung nhĩ kèm đáp ứng thất nhanh - bệnh thận mạn, không đặc hiệu 2. Bệnh sử hiện tại Lý do vào viện: Khó thở tăng dần, diễn tiến nặng hơn từ sáng ngày nhập viện."
kawasaki,CHẨN_ĐOÁN,5,M30.3,Kawasaki,1,"Bệnh Kawasaki là tình trạng sốt cấp kéo dài, thường đi kèm phát ban toàn thân, với đặc điểm chính là viêm lan tỏa hệ mạch máu nhỏ và vừa, bao gồm động mạch vành – mạch máu quan trọng cung cấp máu cho tim. Bệnh được mô tả lần đầu bởi bác sĩ Tomisaku Kawasaki (Nhật Bản) vào năm 1967. • Độ tuổi thường gặp: Chủ yếu ở trẻ dưới 5 tuổi, đặc biệt là nhóm bú mẹ. || • Đặc điểm nguy hiểm: Giai đoạn đầu có thể chưa quá nghiêm trọng, nhưng nếu không điều trị kịp thời, bệnh có thể dẫn đến viêm tim, phình giãn động mạch vành, đột tử, nhồi máu cơ tim, hoặc hẹp tắc mạch vành gây suy tim về sau. Tóm lại: Kawasaki là bệnh viêm mạch máu nguy hiểm, cần phát hiện sớm để tránh biến chứng nặng. 2."
loét tá tràng,CHẨN_ĐOÁN,5,K26.9,loét tá tràng,1,"- Nội soi (cách đây vài năm, phát hiện loét tá tràng) - Nội soi (cho thấy nhiều loét tá tràng và hồi tràng) - nội soi (Viêm thực quản độ C, loét thực quản dưới 6 mm có điểm sắc tố, nhiều loét nông sạch đáy ở tá tràng và hồi tràng sớm) || - Triệu chứng cách đây vài năm: tái phát buồn nôn và tiêu chảy, chẩn đoán hội chứng ruột kích thích, phát hiện loét tá tràng khi nội soi. - Trong năm nay: không thể giữ được bất cứ thứ gì, chẩn đoán viêm dạ dày ruột do virus. - 2 tuần sau điều trị viêm dạ dày ruột do virus: tiếp tục khó khăn khi ăn uống qua đường miệng, buồn nôn, tiêu chảy, nôn ra máu."
mụn,CHẨN_ĐOÁN,5,L70.9,mụn,1,"Câu trả lời của bác sĩ: 1.Mụn xuất hiện thông qua sự tương tác của 4 yếu tố chính: Sản xuất quá nhiều chất bã nhờn Bít tắc nang lông bởi chất bã và tế bào sừng Vi hệ tại nang lông bởi Propionibacterium acnes (vi khuẩn kỵ khí thông thường) Giải phóng các chất trung gian gây viêm Trứng cá có thể được phân loại là - Không viêm: Đặc trưng bởi nhân mụn - Viêm: Đặc trưng bởi sẹo, mụn mủ, nốt sần, và nan || Bạn vẫn nên đi khám lại để bác sĩ chuyên khoa tư vấn về thuốc và chăm sóc da mụn. Bạn vẫn có thể điều trị nhiều phương pháp mà không ảnh hưởng đến sức khỏe sinh sản. Chăm sóc da mụn một cách khoa học sẽ làm giảm dầu, giảm nhân mụn và có làn da đẹp."
rối loạn lo âu,CHẨN_ĐOÁN,5,F41.9,rối loạn lo âu,1,"Mất ngủ cũng phổ biến với thai kỳ. Lời khuyên dành cho bạn: - Chủ động giải quyết những sang chấn tâm lý có khả năng gây ra các rối loạn lo âu,trầm cảm, stress. - Thiết lập chế độ làm việc, nghỉ ngơi, luyện tập hợp lý, khoa học. || Bệnh lý mãn tính - trầm cảm và rối loạn lo âu 2. Bệnh sử hiện tại"
thiếu máu cơ tim,CHẨN_ĐOÁN,5,I25.9,thiếu máu cơ tim,1,• Nhồi máu cơ tim • Suy vành mạn tính Khoảng 25–30% trẻ không điều trị đúng cách sẽ bị biến chứng này. Biến chứng khác: || Nghiệm pháp gắng sức • Phát hiện thiếu máu cơ tim khi gắng sức Chụp mạch vành (tiêu chuẩn vàng)
u nang tuyến vú,CHẨN_ĐOÁN,5,N60.0,u nang tuyến vú,1,"Câu hỏi từ người dùng: Dạ e chào bác sĩ . Cho e hỏi những người mà có u lành về tuyến vú như u xơ tuyến vú hay u nang tuyến vú chẳng hạn .có thể bổ sung vitamin 3b b1 b6 b12 được ko ạ . E tìm thông tin trên mạng thì có đọc được nói rằng vitamin b12 làm kích thích khối u ung thư phát triển , còn đối với khối u lành tính có ảnh hưởng ko bác . || Đối với bệnh nhân ung thư cũng được khuyên là không nên sử dụng B12. Đối với bệnh u nang tuyến vú, u xơ tuyến vú thì cũng chưa có nghiên cứu về việc sử dụng B12 có tăng nguy cơ ung thư hay không. Tuy nhiên nếu u nang tuyến vú, u xơ tuyến vú thì việc bổ sung B12 cũng giúp bệnh nhân củng cố sức khỏe, giảm nguy cơ thiếu máu."
